
2025/04/26 (11:41:36) | ===> btop++ v.1.4.0
2025/04/26 (11:41:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/26 (11:41:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/26 (11:57:49) | ===> btop++ v.1.4.0
2025/04/26 (11:57:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/26 (11:57:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/26 (21:45:38) | ===> btop++ v.1.4.0
2025/04/26 (21:45:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/26 (21:45:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/26 (22:11:28) | ===> btop++ v.1.4.0
2025/04/26 (22:11:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/26 (22:11:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (16:07:59) | ===> btop++ v.1.4.0
2025/04/27 (16:07:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/27 (16:07:59) | WARNING: Intel GPU: Failed to initialize PMU
